"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","platform_code","direction","position"
"EE580","8522","MATHESON / ALBORO",NULL,"45.435844000","-75.623226000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE590","1400","MATHESON / BATHGATE",NULL,"45.436832000","-75.620667000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE634","1238","OGILVIE / AVIATION",NULL,"45.427882000","-75.627511000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE640","4440","OGILVIE / PALMERSTON",NULL,"45.429264000","-75.624133000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE645","8521","OGILVIE / AVIATION",NULL,"45.428093000","-75.626286000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE650","4442","OGILVIE / PALMERSTON",NULL,"45.429401000","-75.623147000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE660","4441","OGILVIE / CADBORO",NULL,"45.430465000","-75.621175000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE670","4443","OGILVIE / CADBORO",NULL,"45.430637000","-75.620074000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE680","1980","OGILVIE / BATHGATE",NULL,"45.431631000","-75.618294000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE690","8513","OGILVIE / CITY PARK",NULL,"45.431875000","-75.617306000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE695","4444","OGILVIE / AD. 1820",NULL,"45.432617000","-75.615467000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE698","8661","OGILVIE / AD. 1820",NULL,"45.432222000","-75.616752000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE700","4445","OGILVIE / CITY PARK",NULL,"45.433467000","-75.613690000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE705","1927","CITY PARK / OGILVIE",NULL,"45.433301000","-75.613105000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE710","4446","CITY PARK / OGILVIE",NULL,"45.433299000","-75.612913000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE725","1841","CITY PARK / AD. 2280",NULL,"45.430965000","-75.612503000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE728","4447","CITY PARK / HARPER",NULL,"45.429074000","-75.614679000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE730","1778","CITY PARK / AD. 2280",NULL,"45.431107000","-75.612201000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE735","4448","CITY PARK / HARPER",NULL,"45.429608000","-75.616243000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE740","4449","CITY PARK / AD. 1990",NULL,"45.428818000","-75.615258000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE745","4450","CITY PARK / JOBIN",NULL,"45.430099000","-75.616836000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE750","4451","CITY PARK / OGILVIE",NULL,"45.431465000","-75.617722000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE766","0744","OGILVIE / CITY PARK",NULL,"45.434012000","-75.611969000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE771","0743","OGILVIE / CITY PARK",NULL,"45.434332000","-75.611529000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE902","3027","BLAIR A",NULL,"45.430846000","-75.609093000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
"EE912","3027","BLAIR B",NULL,"45.431164000","-75.608636000",NULL,NULL,0,NULL,NULL,0,NULL,NULL,NULL
