affected_route,destination,route_short_name,dst_stop_lat,dst_stop_lon
7 St-Laurent,ST-LAURENT,7,45.420526,-75.637881
7 St-Laurent,BRITTANY/MONTREAL,7,45.443705,-75.642854
7 St-Laurent,ST-LAURENT,7,45.420526,-75.637881
7 St-Laurent,ST-LAURENT,7,45.420526,-75.637881
7 St-Laurent,ST-LAURENT,7,45.420526,-75.637881
7 St-Laurent,ST-LAURENT,7,45.420526,-75.637881
73 Leikin,LEIKIN/BECKSTEAD,73,45.29583,-75.706396
73 Leikin,LEIKIN/BECKSTEAD,73,45.29583,-75.706396
74 Riverview,RIVERVIEW,74,45.268521,-75.695029
74 Riverview,TUNNEY'S PASTURE,74,45.403498,-75.73618
74 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,74,45.403498,-75.73618
74 Tunneyâ€™s Pasture,TUNNEYâ€™S PASTURE,74,45.403498,-75.73618
74 Tunney's Pasture,TUNNEY'S PASTURE,74,45.403498,-75.73618
74 Tunney's Pasture,TUNNEY'S PASTURE,74,45.403498,-75.73618
74 Tunney's Pasture,TUNNEY'S PASTURE,74,45.403498,-75.73618
74 Tunney's Pasture,TUNNEY'S PASTURE,74,45.403498,-75.73618
