id,route_id,direction_id,stop_id,order
3178,48,0,AI200,21
3209,48,1,AI230,15
3179,48,0,AI240,22
10866,291,0,AI295,3
7120,140,0,AI300,21
10930,291,1,AI300,33
10867,291,0,AI310,4
7119,140,0,AI320,20
10929,291,1,AI320,32
7118,140,0,AI330,19
10928,291,1,AI330,31
10868,291,0,AI340,5
10869,291,0,AI350,6
7117,140,0,AI360,18
10927,291,1,AI360,30
10870,291,0,AI370,7
7116,140,0,AI380,17
10926,291,1,AI380,29
10865,291,0,AI400,2
10871,291,0,AI450,8
7115,140,0,AI460,16
10925,291,1,AI460,28
10872,291,0,AI470,9
2915,44,1,AI480,22
3060,46,1,AI480,41
7131,140,1,AI480,10
14048,689,1,AI480,18
6092,92,1,AI490,4
7114,140,0,AI490,15
10924,291,1,AI490,27
2916,44,1,AI500,23
3061,46,1,AI500,42
5978,90,0,AI500,62
6079,92,0,AI500,40
7132,140,1,AI500,11
14049,689,1,AI500,19
2874,44,0,AI510,21
2980,46,0,AI510,14
6032,90,1,AI510,53
6091,92,1,AI510,3
7113,140,0,AI510,14
14014,689,0,AI510,41
2917,44,1,AI521,24
14050,689,1,AI521,20
2873,44,0,AI530,20
2979,46,0,AI530,13
7112,140,0,AI530,13
14013,689,0,AI530,40
2955,45,1,AJ005,6
3631,55,0,AJ005,54
3641,55,1,AJ005,9
3622,55,0,AJ006,45
3621,55,0,AJ007,44
2956,45,1,AJ008,7
3632,55,0,AJ008,55
3642,55,1,AJ008,10
2957,45,1,AJ010,8
3643,55,1,AJ010,11
2958,45,1,AJ015,9
2949,45,0,AJ020,13
2950,45,1,AJ020,1
2951,45,1,AJ022,2
2952,45,1,AJ025,3
2953,45,1,AJ028,4
2954,45,1,AJ030,5
3646,55,1,AJ080,14
13057,645,0,AJ080,6
3619,55,0,AJ090,42
3645,55,1,AJ100,13
13056,645,0,AJ100,5
3620,55,0,AJ110,43
3644,55,1,AJ120,12
13055,645,0,AJ120,4
3623,55,0,AJ180,46
13054,645,0,AJ190,3
3640,55,1,AJ200,8
13053,645,0,AJ200,2
3639,55,1,AJ203,7
11747,609,0,AJ203,2
13052,645,0,AJ203,1
3624,55,0,AJ210,47
3638,55,1,AJ220,6
3625,55,0,AJ230,48
3637,55,1,AJ240,5
3626,55,0,AJ250,49
3636,55,1,AJ260,4
3627,55,0,AJ270,50
3635,55,1,AJ280,3
3628,55,0,AJ290,51
3634,55,1,AJ300,2
3629,55,0,AJ310,52
3267,49,1,AJ320,14
3266,49,1,AJ330,13
3241,49,0,AJ340,9
3265,49,1,AJ350,12
3242,49,0,AJ360,10
3264,49,1,AJ370,11
3243,49,0,AJ380,11
3263,49,1,AJ390,10
3244,49,0,AJ400,12
3262,49,1,AJ410,9
3245,49,0,AJ420,13
3261,49,1,AJ430,8
3246,49,0,AJ440,14
3260,49,1,AK090,7
3247,49,0,AK100,15
3248,49,0,AK110,16
3259,49,1,AK120,6
3249,49,0,AK130,17
3258,49,1,AK140,5
3250,49,0,AK145,18
3257,49,1,AK151,4
3251,49,0,AK155,19
3256,49,1,AK160,3
3183,48,0,AK360,26
13011,644,1,AK360,2
3182,48,0,AK366,25
3232,48,1,AK366,38
13010,644,1,AK366,1
3205,48,1,AK370,11
13009,644,0,AK370,39
13169,649,0,AK370,39
3181,48,0,AK380,24
13174,649,1,AK380,2
3206,48,1,AK390,12
13170,649,0,AK390,40
3180,48,0,AK420,23
13173,649,1,AK420,1
3207,48,1,AK430,13
13171,649,0,AK430,41
3208,48,1,AK440,14
13172,649,0,AK440,42
3184,48,0,AK500,27
13012,644,1,AK500,3
13175,649,1,AK500,3
3204,48,1,AK510,10
13008,644,0,AK510,38
13168,649,0,AK510,38
3046,46,1,AK530,27
13013,644,1,AK530,4
13176,649,1,AK530,4
2993,46,0,AK540,27
3185,48,0,AK540,28
3047,46,1,AK550,28
13014,644,1,AK550,5
13177,649,1,AK550,5
2992,46,0,AK560,26
13007,644,0,AK560,37
13167,649,0,AK560,37
3048,46,1,AK590,29
13015,644,1,AK590,6
13178,649,1,AK590,6
2991,46,0,AK600,25
13006,644,0,AK600,36
13166,649,0,AK600,36
3049,46,1,AK610,30
14031,689,1,AK610,1
2990,46,0,AK620,24
13005,644,0,AK620,35
13165,649,0,AK620,35
14030,689,0,AK620,57
3050,46,1,AK630,31
7121,140,0,AK630,22
7122,140,1,AK630,1
10931,291,1,AK630,34
14032,689,1,AK630,2
2989,46,0,AK641,23
14029,689,0,AK641,56
3051,46,1,AK650,32
7123,140,1,AK650,2
10932,291,1,AK650,35
14033,689,1,AK650,3
2988,46,0,AK660,22
10864,291,0,AK660,1
14028,689,0,AK660,55
2710,40,0,AL050,58
3002,46,0,AL050,36
3194,48,0,AL050,37
3253,49,0,AL050,21
3630,55,0,AL050,53
3633,55,1,AL050,1
11746,609,0,AL050,1
11776,609,1,AL050,16
2731,40,1,AL060,14
3035,46,1,AL060,16
3195,48,1,AL060,1
3254,49,1,AL060,1
2709,40,0,AL090,57
3252,49,0,AL090,20
2732,40,1,AL100,15
3255,49,1,AL100,2
2708,40,0,AL110,56
2733,40,1,AL130,16
2707,40,0,AL150,55
2734,40,1,AL160,17
2735,40,1,AL170,18
2706,40,0,AL200,54
3045,46,1,AL210,26
3203,48,1,AL210,9
2994,46,0,AL220,28
3186,48,0,AL220,29
3044,46,1,AL230,25
3202,48,1,AL230,8
2995,46,0,AL240,29
3187,48,0,AL240,30
3043,46,1,AL250,24
3201,48,1,AL250,7
2996,46,0,AL260,30
3188,48,0,AL260,31
3042,46,1,AL270,23
3200,48,1,AL270,6
3139,47,1,AL280,24
3093,47,0,AL285,18
2997,46,0,AL300,31
3189,48,0,AL300,32
3041,46,1,AL311,22
3199,48,1,AL311,5
2998,46,0,AL320,32
3190,48,0,AL320,33
3198,48,1,AL330,4
2999,46,0,AL340,33
3191,48,0,AL340,34
3197,48,1,AL350,3
3000,46,0,AL360,34
3192,48,0,AL360,35
3196,48,1,AL370,2
3001,46,0,AL380,35
3193,48,0,AL380,36
3040,46,1,AL405,21
3039,46,1,AL415,20
3038,46,1,AL425,19
3037,46,1,AL435,18
3036,46,1,AL445,17
3085,47,0,AL594,10
3147,47,1,AL595,32
3146,47,1,AL597,31
3086,47,0,AL598,11
3087,47,0,AL600,12
3145,47,1,AL605,30
3088,47,0,AL610,13
3144,47,1,AL615,29
3089,47,0,AL620,14
3143,47,1,AL625,28
3090,47,0,AL633,15
3142,47,1,AL635,27
3091,47,0,AL640,16
3141,47,1,AL645,26
